exporter,importer,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
Chile,France,4278843.806253421,4282748.738453338,0.09126138687768512,380359.09,380706.2109806494,347.12098064937163
Chile,Germany,8467070.12935181,8474715.869675787,0.09029971651555056,1871431.63,1873121.5274566722,1689.8974566722754
Chile,India,4371344.071046103,4364870.255102488,-0.1480966915071807,5606.39,5598.087121897011,-8.30287810298978
Chile,Italy,4302078.6141167935,4306090.2618057495,0.09324905583529373,717087.42,717756.0972486638,668.6772486637346
Chile,Japan,6285649.330230735,6291493.930861359,0.09298324363267772,5098030.72,5102771.034324846,4740.314324846491
Chile,Malaysia,2011504.6133874792,2013456.015432341,0.09701205912600652,109402.92,109509.05402543597,106.13402543596749
Chile,Mexico,3466886.367436086,3470122.4813993913,0.09334352558254548,1139794.39,1140858.314268018,1063.9242680179887
Chile,New Zealand,546877.9366795741,546984.9202465037,0.01956260433162618,95922.89,95941.65501543415,18.76501543415361
Chile,Peru,686773.2035549616,687972.3085077432,0.1745998455639533,146207.91,146463.1887850623,255.27878506228444
Chile,Russia,1815457.0083538026,1816965.991180927,0.08311862083105538,418286.49,418634.16396161064,347.6739616106497
Chile,Singapore,3808947.38975979,3812478.033102811,0.09269341321207786,23783.61,23805.65583989405,22.045839894050005
Chile,UK,6590170.212300451,6592614.912716552,0.037096165005543365,52362.52,52381.944486820255,19.424486820258608
Chile,USA,20606158.98599579,20625891.050131496,0.09575808936111942,1094063.2,1095110.8540167229,1047.654016722925
Chile,Vietnam,2339348.5848419275,2342954.9115828103,0.15415944268632836,1040318.09,1041921.8385697091,1603.7485697091324
China,Australia,48066476.465372995,48059546.28743648,-0.014417902967173369,97346052.96,97332017.70054184,-14035.25945815444
China,Brazil,37472171.805801615,37510037.952926286,0.10105138106462203,56265651.89,56322509.10829986,56857.21829985827
China,Brunei,1593795.6336468605,1595406.7395355015,0.10108610254844937,1582783.17,1584383.1438183456,1599.9738183456939
China,Canada,84699838.8201542,84737720.17705776,0.04472423729635149,21060419.66,21069838.772064347,9419.112064346671
China,Chile,18595308.900140427,18613896.060726155,0.09995618080637089,13165837.12,13178997.187956337,13160.067956337705
China,China,1571407721.0723617,1572912420.0230784,0.09575484010539898,677938934.92,678588094.2631449,649159.3431448936
China,France,87606759.91152348,87688132.06096901,0.09288341393713655,7261557.09,7268301.872130186,6744.782130186446
China,Germany,170461502.44435412,170618193.60295984,0.09192172799067944,4738149.65,4742505.039033065,4355.389033064246
China,India,246905007.63151392,246543344.77285087,-0.14647854336061314,69373320.21,69271703.18107548,-101617.02892450988
China,Italy,87238420.91121186,87321184.97393107,0.09487111510586062,13307466.0,13320090.941386534,12624.941386533901
China,Japan,106019800.43530822,106120100.78408056,0.09460529859566075,39700749.97,39738308.98305383,37559.01305383444
China,Malaysia,34911391.13904393,34945825.70320333,0.09863417937788822,19494807.36,19514035.90326084,19228.543260838836
China,Mexico,74821005.11143705,74892059.31767955,0.09496558638403065,48298157.95,48344024.578909904,45866.628909900784
